Xvalue,Yvalue,Zvalue,,TPC,PD,Prob,,X90,Y90,Z90,,X80,Y80,Z80,,X70,Y70,Z70,,X60,Y60,Z60
129.5,3398.2,0.9244,,,,,,129.5,3398.2,0.9244,,,,,,,,,,,,
130.3,3390.6,0.923,,,,,,130.3,3390.6,0.923,,,,,,,,,,,,
126.2,3414.2,0.923,,,,,,126.2,3414.2,0.923,,,,,,,,,,,,
118.3,3654.3,0.9224,,,,,,118.3,3654.3,0.9224,,,,,,,,,,,,
119.3,3564.7,0.9222,,,,,,119.3,3564.7,0.9222,,,,,,,,,,,,
127.6,3397.8,0.922,,,,,,127.6,3397.8,0.922,,,,,,,,,,,,
118.9,3580.1,0.921,,,,,,118.9,3580.1,0.921,,,,,,,,,,,,
126,3406.2,0.9208,,,,,,126,3406.2,0.9208,,,,,,,,,,,,
120,3527.1,0.9206,,,,,,120,3527.1,0.9206,,,,,,,,,,,,
119,3562.8,0.9206,,,,,,119,3562.8,0.9206,,,,,,,,,,,,
125.9,3400.1,0.9188,,,,,,125.9,3400.1,0.9188,,,,,,,,,,,,
118.4,3595.8,0.9188,,,,,,118.4,3595.8,0.9188,,,,,,,,,,,,
118.9,3541.2,0.9172,,,,,,118.9,3541.2,0.9172,,,,,,,,,,,,
131.5,3363.8,0.9168,,,,,,131.5,3363.8,0.9168,,,,,,,,,,,,
125.8,3387.6,0.9158,,,,,,125.8,3387.6,0.9158,,,,,,,,,,,,
127.9,3369.1,0.9152,,,,,,127.9,3369.1,0.9152,,,,,,,,,,,,
120.8,3463.9,0.915,,,,,,120.8,3463.9,0.915,,,,,,,,,,,,
116.1,3932.9,0.9146,,,,,,116.1,3932.9,0.9146,,,,,,,,,,,,
117.7,3592.3,0.9136,,,,,,117.7,3592.3,0.9136,,,,,,,,,,,,
126.7,3372.1,0.9132,,,,,,126.7,3372.1,0.9132,,,,,,,,,,,,
117.9,3571.2,0.913,,,,,,117.9,3571.2,0.913,,,,,,,,,,,,
136.5,3342.4,0.9126,,,,,,136.5,3342.4,0.9126,,,,,,,,,,,,
131.3,3348.5,0.9126,,,,,,131.3,3348.5,0.9126,,,,,,,,,,,,
128,3356,0.9124,,,,,,128,3356,0.9124,,,,,,,,,,,,
125.3,3381,0.9122,,,,,,125.3,3381,0.9122,,,,,,,,,,,,
126.3,3365.7,0.9118,,,,,,126.3,3365.7,0.9118,,,,,,,,,,,,
117.8,3561.6,0.9114,,,,,,117.8,3561.6,0.9114,,,,,,,,,,,,
118.6,3506.5,0.9114,,,,,,118.6,3506.5,0.9114,,,,,,,,,,,,
116.2,3771.9,0.9102,,,,,,116.2,3771.9,0.9102,,,,,,,,,,,,
118.9,3485.4,0.9096,,,,,,118.9,3485.4,0.9096,,,,,,,,,,,,
118.7,3491.8,0.909,,,,,,118.7,3491.8,0.909,,,,,,,,,,,,
120.5,3439.8,0.9084,,,,,,120.5,3439.8,0.9084,,,,,,,,,,,,
116.4,3700.6,0.9078,,,,,,116.4,3700.6,0.9078,,,,,,,,,,,,
133.2,3329.6,0.9076,,,,,,133.2,3329.6,0.9076,,,,,,,,,,,,
117,3589.7,0.9076,,,,,,117,3589.7,0.9076,,,,,,,,,,,,
116.3,3683.3,0.9068,,,,,,116.3,3683.3,0.9068,,,,,,,,,,,,
119.4,3448.9,0.9066,,,,,,119.4,3448.9,0.9066,,,,,,,,,,,,
122.2,3394.2,0.9064,,,,,,122.2,3394.2,0.9064,,,,,,,,,,,,
121.9,3402.2,0.9062,,,,,,121.9,3402.2,0.9062,,,,,,,,,,,,
116.6,3644,0.906,,,,,,116.6,3644,0.906,,,,,,,,,,,,
116.8,3601.5,0.9056,,,,,,116.8,3601.5,0.9056,,,,,,,,,,,,
115.1,4188.9,0.9052,,,,,,115.1,4188.9,0.9052,,,,,,,,,,,,
118.5,3468.6,0.9044,,,,,,118.5,3468.6,0.9044,,,,,,,,,,,,
118.7,3459.5,0.9042,,,,,,118.7,3459.5,0.9042,,,,,,,,,,,,
115.7,3727.6,0.904,,,,,,115.7,3727.6,0.904,,,,,,,,,,,,
115.8,3692.5,0.9036,,,,,,115.8,3692.5,0.9036,,,,,,,,,,,,
121.5,3392.4,0.9036,,,,,,121.5,3392.4,0.9036,,,,,,,,,,,,
117.8,3489,0.9034,,,,,,117.8,3489,0.9034,,,,,,,,,,,,
115.4,3722.8,0.9018,,,,,,115.4,3722.8,0.9018,,,,,,,,,,,,
126.3,3326.3,0.9008,,,,,,126.3,3326.3,0.9008,,,,,,,,,,,,
124.2,3340,0.9002,,,,,,124.2,3340,0.9002,,,,,,,,,,,,
119.3,3424.5,0.9002,,,,,,119.3,3424.5,0.9002,,,,,,,,,,,,
118.9,3426.5,0.899,,,,,,,,,,118.9,3426.5,0.899,,,,,,,,
125.4,3322.7,0.8988,,,,,,,,,,125.4,3322.7,0.8988,,,,,,,,
118.5,3439.2,0.8986,,,,,,,,,,118.5,3439.2,0.8986,,,,,,,,
